Product Name,Brand,Category,Company,Purchase Price,Cost Price,Retail Price,Wholesale Price,Dealer Price,Boxes per Carton,Stock Quantity,Min Stock Level,SKU,Barcode,Description
Kafeo Khatai Rs.5,,Biscuit,Gibs,"2,260",,2280,2280,2260,18,0,,,,
Khas Peanut Rs.5,,Biscuit,Gibs,"2,260",,2280,2280,2260,18,0,,,,
Kremore Banana Rs.5,,Biscuit,Gibs,"2,260",,2280,2280,2260,18,0,,,,
Kremore Strawberry Rs.5,,Biscuit,Gibs,"2,260",,2280,2280,2260,18,0,,,,
Lion Energy Rs.5,,Biscuit,Gibs,"2,260",,2280,2280,2260,18,0,,,,
More Peanut Rs.5,,Biscuit,Gibs,"2,260",,2280,2280,2260,18,0,,,,
Panjeeri Rs.5,,Biscuit,Gibs,"2,260",,2280,2280,2260,18,0,,,,
Peanut Pista Rs.5,,Biscuit,Gibs,"2,260",,2280,2280,2260,18,0,,,,
Premo Chocolate Rs.5,,Biscuit,Gibs,"2,260",,2280,2280,2260,18,30,,,,
Real Taste Rs.5,,Biscuit,Gibs,"2,260",,2280,2280,2260,18,0,,,,
Ringo Milk Glucose Rs.5,,Biscuit,Gibs,"2,260",,2280,2280,2260,18,20,,,,
Short Cake Rs.5,,Biscuit,Gibs,"2,260",,2280,2280,2260,18,0,,,,
Smooper Cookies Rs.5,,Biscuit,Gibs,"2,260",,2280,2280,2260,18,0,,,,
Up Classic Egg & Milk Rs.5,,Biscuit,Gibs,"2,260",,2280,2280,2260,18,0,,,,
Choco Crunch Biscuit Rs10,,Biscuit,Gibs,"2,314",,2430,2360,2314,18,20,,,,
Choco Flow Biscuit Rs.10,,Biscuit,Gibs,"3,340",,3510,3400,3340,18,0,,,,
Kunafa Pistachio Roll Rs.10,,CEREAL RANGE,Gibs,"2,410",,2480,2440,2410,12,10,,,,
Balisto Choc.Coated Bar Rs. 5,,CEREAL RANGE,Gibs,"3,430",,3510,3480,3430,18,0,,,,
Chocolate Pillow Cereal Rs.10,,CEREAL RANGE,Gibs,"3,430",,3520,3460,3430,18,10,,,,
Trango Choc.Cereal Bar Rs.10,,CEREAL RANGE,Gibs,"3,340",,3520,3460,3340,18,0,,,,
O-Milk Oat Energy Rs.10,,CEREAL RANGE,Gibs,"3,340",,3520,3460,3340,18,10,,,,
Super Donut Strawb.Oats,,CEREAL RANGE,Gibs,"3,340",,3520,3460,3340,18,1,,,,
Cake Time Marble Rs.20,,CAKE RANGE,Gibs,"2,314",,2430,2360,2314,18,0,,,,
Panda Sponge Cake Rs.20,,CAKE RANGE,Gibs,"3,430",,3520,3480,3430,18,50,,,,
Supreme Chocolate Cake Rs.20,,CAKE RANGE,Gibs,"3,430",,3520,3480,3430,18,200,,,,
Supreme Soft Cake Rs.20,,CAKE RANGE,Gibs,"3,430",,3520,3480,3430,18,400,,,,
Swiss Roll Banana & Vanila Rs.20,,CAKE RANGE,Gibs,"2,230",,2430,2360,2230,12,0,,,,
Choco Cake Rs.30,,CAKE RANGE,Gibs,"3,340",,3520,3480,3340,18,30,,,,
Kup Cake Chocolate Rs. 10,,CAKE RANGE,Gibs,"2,224",,2280,2260,2224,18,0,,,,
Kup Cake Strawberry Rs. 10,,CAKE RANGE,Gibs,"2,224",,2280,2260,2224,18,0,,,,
Cake Time Plain Rs. 10,,CAKE RANGE,Gibs,"3,610",,3680,3640,3610,18,300,,,,
Sweet Heart Banana Cake Rs. 10,,CAKE RANGE,Gibs,"3,610",,3680,3640,3610,18,200,,,,
Sweet Heart Red Velvet Cake Rs. 10,,CAKE RANGE,Gibs,"3,610",,3680,3640,3610,18,20,,,,
O-Kay Cake Strawberry Cake Rs. 10,,CAKE RANGE,Gibs,"3,466",,3580,3496,3466,18,100,,,,
O-Kay Cake Chocolate Cake Rs. 10,,CAKE RANGE,Gibs,"3,466",,3580,3496,3466,18,100,,,,
Swiss Banana Roll Cake Rs. 10,,CAKE RANGE,Gibs,"3,466",,3580,3496,3466,18,0,,,,
Swiss Roll Cake Chocolate Rs. 10,,CAKE RANGE,Gibs,"3,466",,3580,3496,3466,18,0,,,,
Swiss Roll Cake Strawberry Rs. 10,,CAKE RANGE,Gibs,"3,466",,3580,3496,3466,18,150,,,,
Donut Chocolate Cake 24-P Rs. 10,,CAKE RANGE,Gibs,"3,664",,3694,3694,3664,18,30,,,,
Chocoberry Stb. Cake Rs.10,,CAKE RANGE,Gibs,"2,170",,2250,2200,2170,18,0,,,,
Chocovil Double Choc Cake Rs. 10,,CAKE RANGE,Gibs,"2,170",,2250,2200,2170,18,0,,,,
Soft cake strawberry Rs. 5,,CAKE RANGE,Gibs,"2,224",,2280,2254,2224,18,50,,,,
Soft cake banana Rs. 5,,CAKE RANGE,Gibs,"2,224",,2280,2254,2224,18,0,,,,
Bulbulay Banana Wafer Rs.5,,Wafers,Gibs,"2,206",,2280,2254,2206,18,0,,,,
Bulbulay Tutti Fruiti Wafer Rs.5,,Wafers,Gibs,"2,206",,2280,2254,2206,18,0,,,,
Wafer Leger Orange Rs.5 (30-packs),,Wafers,Gibs,"2,206",,2280,2254,2206,18,0,,,,
Crispee Wafer Banana Rs10,,Wafers,Gibs,"2,206",,2280,2254,2206,18,0,,,,
Crispee Wafer Orange Rs10,,Wafers,Gibs,"2,206",,2280,2254,2206,18,0,,,,
Peach Waviz Wafer Rs.10,,Wafers,Gibs,"2,206",,2280,2254,2206,18,0,,,,
Cream Wafer Orange Rs.10,,Wafers,Gibs,"2,206",,2280,2254,2206,18,0,,,,
Crispee Wafer Coconut Rs.10,,Wafers,Gibs,"2,206",,2280,2254,2206,18,0,,,,
Crispee Wafer Strawberry Rs10,,Wafers,Gibs,"2,206",,2280,2254,2206,18,0,,,,
Rock N Roll Stb & Choc Wafer Box Rs. 5,,Wafers,Gibs,"2,770",,3000,2880,2770,12,0,,,,
Chocofy Choc Wafer Rolls Rs.10\,,Wafers,Gibs,"2,134",,2214,2180,2134,18,0,,,,
Chocofy Strawberry Wafer Rolls Rs. 10,,Wafers,Gibs,"2,134",,2214,2180,2134,18,0,,,,
Rollex Wafer Strawberry Rs.10,,Wafers,Gibs,"2,410",,2520,2440,2410,12,30,,,,
Rollex Wafer Chocolate Rs.10,,Wafers,Gibs,"2,410",,2520,2440,2410,12,30,,,,
Rollex Wafer Pistachio Roll Rs.10,,Wafers,Gibs,"2,410",,2520,2440,2410,12,30,,,,
Wavy Banana Wafers Rs.20,,Wafers,Gibs,"2,290",,2380,2320,2290,12,100,,,,
Wavy Chocolate Wafers Rs.20,,Wafers,Gibs,"2,290",,2380,2320,2290,12,100,,,,
Wavy Orange Wafers Rs.20,,Wafers,Gibs,"2,290",,2380,2320,2290,12,100,,,,
Wavy Strawberry Wafers Rs.20,,Wafers,Gibs,"2,290",,2380,2320,2290,12,100,,,,
Bakes SP Rs.40,,Biscuit,Gibs,"3,082",,,,3082,1,,,,,
Supreme SP Rs.40,,Biscuit,Gibs,"3,082",,,,3082,1,,,,,
Coco Bite Cookies Rs.50,,Biscuit,Gibs,"1,834",,1950,1900,1834,1,0,,,,
Glow Egg & Milk Rs.50,,Biscuit,Gibs,"1,834",,1950,1900,1834,1,0,,,,
Supreme Egg & Milk Rs.50,,Biscuit,Gibs,"1,834",,1950,1900,1834,1,0,,,,
Metro Mix Nimko Rs.50,,Nimko,Gibs,"2,770",,2880,2800,2770,12,10,,,,
Royal Mix Nimko Rs.50,,Nimko,Gibs,"2,770",,2880,2800,2770,12,30,,,,
Supreme Dal Moth Rs.50,,Nimko,Gibs,"2,770",,2880,2800,2770,12,0,,,,
Peanut Fried & Salted Rs.20,,Nimko,Gibs,"2,340",,,,2340,12,,,,,
Chaska Dal Mooth Rs.10 (15-Pack),,Nimko,Gibs,"2,134",,2200,2164,2134,18,0,,,,
Crunch Nimko Rs.10 (15-Pack),,Nimko,Gibs,"2,134",,2200,2164,2134,18,0,,,,
Nimkoz Nimko Rs.10,,Nimko,Gibs,"2,134",,2200,2164,2134,18,0,,,,
Best Nimko Rs.10,,Nimko,Gibs,"2,134",,2200,2164,2134,18,0,,,,
Chicken Paray Rs.5,,Nimko,Gibs,"1,990",,2160,2100,1990,18,0,,,,
Nimoo Paray Rs.5 (30-Pcs),,Nimko,Gibs,"1,990",,2160,2100,1990,18,0,,,,
Crunch Nimko Rs.5 (30-Packs),,Nimko,Gibs,"2,134",,2200,2164,2134,18,50,,,,
Karachi Achari Mix Rs.5 (30-Packs),,Nimko,Gibs,"2,134",,2200,2164,2134,18,0,,,,
Karachi Tikka Mix Rs.5 (30-Packs),,Nimko,Gibs,"2,134",,2200,2164,2134,18,0,,,,
Dal Moth Classic Rs.10,,Nimko,Gibs,"2,800",,2970,2900,2800,18,0,,,,
Prime Nimko Mix Rs.20 (12-Pack),,Nimko,Gibs,"2,230",,2280,2260,2230,12,0,,,,
Royal Mix Nimko Rs.20,,Nimko,Gibs,"2,230",,2280,2260,2230,12,30,,,,
Dal Moth Classic Rs.10 Thelli,,Nimko,Gibs,"3,070",,3240,3150,3070,36,0,,,,
Nimko Masala Rs.5 Thelli,,Nimko,Gibs,"1,594",,1728,1650,1594,36,0,,,,
Metro Mix Nimko Rs.20,,Nimko,Gibs,"2,230",,2280,2260,2230,12,10,,,,
Supreme Dal Moth Rs.20,,Nimko,Gibs,"2,230",,2280,2260,2230,12,0,,,,
Papri Namkin Rs.20 (Thelli),,Nimko,Gibs,"2,050",,2160,2100,2050,12,0,,,,
Munch Namak Para Rs.10 (Thelli),,Nimko,Gibs,"4,330",,4500,4400,4330,36,0,,,,
Coconut Wala Rs.40 (Value Pack),,Biscuit,Gibs Gold,"3,412",,3510,3450,3412,18,0,,,,
Coconut Wala HR Rs.20,,Biscuit,Gibs Gold,"2,314",,2430,2360,2314,18,20,,,,
Peanut Wala HR Rs.20,,Biscuit,Gibs Gold,"2,314",,2430,2360,2314,18,20,,,,
Peanut Wala Rs.30,,Biscuit,Gibs Gold,"3,370",,3480,3420,3370,24,0,,,,
Rex Blueberry Vanilla Rs.10,,Biscuit,Gibs Gold,"2,314",,2430,2360,2314,18,0,,,,
Rex Strawberry Vanilla Rs.10,,Biscuit,Gibs Gold,"2,314",,2430,2360,2314,18,0,,,,
Selection Egg & Milk Cookies Rs.10,,Biscuit,Gibs Gold,"2,314",,2430,2360,2314,18,0,,,,
Choco Brownie Rs.10,,Biscuit,Gibs Gold,"2,314",,2430,2360,2314,18,0,,,,
Lovely Coconut Cookies Rs.10,,Biscuit,Gibs Gold,"2,314",,2430,2360,2314,18,0,,,,
Milky Magic Rs.10,,Biscuit,Gibs Gold,"2,170",,2250,2200,2170,18,0,,,,
Coconut Wala Cookies Rs.10,,Biscuit,Gibs Gold,"3,394",,3510,3450,3394,18,0,,,,
Lovely Peanut Rs.5,,Biscuit,Gibs Gold,"2,260",,2300,2280,2260,18,20,,,,
Lovely Coconut Rs.5,,Biscuit,Gibs Gold,"2,260",,2300,2280,2260,18,20,,,,
Milky Magic Rs.5,,Biscuit,Gibs Gold,"2,260",,2300,2280,2260,18,0,,,,
Rex Banana Sandwich Rs.5,,Biscuit,Gibs Gold,"2,260",,2300,2280,2260,18,0,,,,
Rex Strawberry Vanilla Rs.5,,Biscuit,Gibs Gold,"2,260",,2300,2280,2260,18,20,,,,
Selection Egg & Milk Cookies Rs.5,,Biscuit,Gibs Gold,"2,260",,2300,2280,2260,18,0,,,,
Biskela Chocolate Biscuit Rs.10,,Chocolate,Gibs Gold,"3,430",,3520,3460,3430,18,100,,,,
Chocodip Chocolate Biscuit Rs.10,,Chocolate,Gibs Gold,"3,430",,3520,3460,3430,18,0,,,,
Conito Cone Tutti Frutti Rs.10,,Cone,Gibs Gold,"3,340",,3520,3460,3340,18,0,,,,
ChocoKo Chocolate Beans Rs.5,,Beans,Gibs Gold,"3,034",,3080,3064,3034,18,0,,,,
Touch Mobile Beans Rs.5,,Beans,Gibs Gold,"3,034",,3080,3064,3034,18,1,,,,
Bento Beans Pouch Rs.10,,Beans,Gibs Gold,"3,466",,3520,3496,3466,18,200,,,,
Bento Beans Pouch Rs.20,,Beans,Gibs Gold,"3,276",,3480,3460,3276,18,30,,,,
Biscos Chocolate Coated Mini Biscuits Rs. 10,,Beans,Gibs Gold,"3,070",,3510,3350,3070,18,0,,,,
Crave Wafer Chocolate Rs.10,,Wafers,Gibs Gold,"2,206",,2280,2260,2206,18,0,,,,
Crave Wafer Orange Rs.10,,Wafers,Gibs Gold,"2,206",,2280,2260,2206,18,0,,,,
Crave Wafer Strawberry Rs.10,,Wafers,Gibs Gold,"2,206",,2280,2260,2206,18,0,,,,
Joystik Chocolate Wafer Roll Rs.10,,Wafers,Gibs Gold,"2,842",,2928,2900,2842,24,0,,,,
Joystik Strawberry Wafer Roll Rs.10,,Wafers,Gibs Gold,"2,842",,2928,2900,2842,24,0,,,,
Swiss Roll Choc. & Vanila Cake Rs.20,,CAKE RANGE,Gibs Gold,"2,230",,2340,2280,2230,12,0,,,,
Donut Chocolate Cake Rs.20,,CAKE RANGE,Gibs Gold,"3,340",,3580,3460,3340,18,0,,,,
UP Soft Cake Rs.20,,CAKE RANGE,Gibs Gold,"3,430",,3520,3480,3430,18,50,,,,
Boost Big Bubble Rs.5,,Bubble,Gibs Gold,"2,194",,2280,2230,2194,12,1,,,,
Boomer Mouth Freshner Bubble Rs.5,,Bubble,Gibs Gold,"2,194",,2280,2230,2194,12,0,,,,
TikTik Bubble Gum Box Rs.5,,Bubble,Gibs Gold,"2,254",,2340,2280,2254,12,0,,,,
Potato Fries Tikka Box Rs.10,,Nimko,Gibs Gold,"2,170",,2250,2200,2170,18,0,,,,
Darbari Tikka Mix Nimko Rs.5,,Nimko,Gibs Gold,"2,134",,2200,2164,2134,18,0,,,,
Darbari Tikka Mix Nimko Rs.10,,Nimko,Gibs Gold,"2,134",,2200,2164,2134,18,200,,,,
Chaska Dal Moth Rs.10,,Nimko,Gibs Gold,"2,134",,2200,2164,2134,18,0,,,,
Classic (Blue) Mix Nimko Rs.20,,Nimko,Gibs Gold,"2,338",,2400,2380,2338,24,0,,,,
Classic (Red) Delight Nimko Rs.20,,Nimko,Gibs Gold,"2,338",,2400,2380,2338,24,0,,,,
Classic Potato Stix (with Ketchup) Rs.20,,Nimko,Gibs Gold,"2,410",,2520,2450,2410,24,0,,,,
Tawazo Munchy Dal Moth Rs.20,,Nimko,Gibs Gold,"2,230",,2280,2260,2230,12,0,,,,
Tawazo Munchy Mix Nimko Rs.20,,Nimko,Gibs Gold,"2,230",,2280,2260,2230,12,0,,,,
Tawazo Munchy Dal Moth Rs.50,,Nimko,Gibs Gold,"2,770",,2880,2800,2770,12,0,,,,
Tawazo Munchy Mix Nimko Rs.50,,Nimko,Gibs Gold,"2,770",,2880,2800,2770,12,0,,,,
Dipper vanilla / strawberry cup Rs. 5,,Chocolate,Gibs Gold,"3,130",,3180,3160,3130,12,0,,,,
Festo caramel chocolate Rs. 5,,Chocolate,Gibs Gold,"2,170",,2250,2200,2170,18,0,,,,
Milky strawberry paste Rs. 5,,Chocolate,Gibs Gold,"2,842",,2950,2880,2842,24,0,,,,
Double decker cars chocolate Rs. 10,,Chocolate,Gibs Gold,"2,890",,2950,2920,2890,12,50,,,,
Koneto Cone Pop Lolly Box Rs.5,,Lollypop,Gibs Gold,"2,224",,2280,2254,2224,18,0,,,,
Mickey Pop Fruity Lolly Box Rs.5,,Lollypop,Gibs Gold,"2,224",,2280,2254,2224,18,100,,,,
Jagmag Light Lolly Pop Box Rs.5,,Lollypop,Gibs Gold,"2,224",,2280,2254,2224,18,0,,,,
Lovely Pop Mango Lolly Box Rs.5,,Lollypop,Gibs Gold,"2,398",,2480,2430,2398,12,0,,,,
Cookies Milk Chocolate Lollypop Box Rs.5,,Lollypop,Gibs Gold,"2,398",,2480,2430,2398,12,0,,,,
Cookies Milk Strawberry Lollypop Box Rs.5,,Lollypop,Gibs Gold,"2,398",,2480,2430,2398,12,0,,,,
Lovely Pop Mango Lolly JAR Rs.5,,Lollypop,Gibs Gold,"2,050",,2100,2100,2050,6,0,,,,
Sohan Halwa Toffee Box Rs.5,,Toffee,Gibs Gold,"2,170",,2280,2200,2170,12,100,,,,
Twix Milk & Chocolate Toffee Rs.5,,Toffee,Gibs Gold,"2,530",,2900,2750,2530,24,0,,,,
Doodh Makhani Toffee Rs.10,,Toffee,Gibs Gold,"3,340",,3510,3460,3340,18,0,,,,
Peach Maza Candy Re.1,,candy,Gibs Gold,"2,986",,3064,3016,2986,24,30,,,,
Big Apple Candy Box Rs.2 (75-Piece),,candy,Gibs Gold,"2,554",,2750,2584,2554,24,30,,,,
